from,post_id,text,publish_time,cnt_retweet,cnt_agree,cnt_comment,user_id,screen_name,name,url,action,avatar,img,imgs,query,sentiment_score,cluster,keywords
weibo,5027920915731019,##问界m7起火#  我看这条会不会被删 ,2024-04-27 23:53:43,206,7834,1209,2470670391,带雨云埋一半山v,带雨云埋一半山v,https://weibo.com/2470670391/ObIlJo2TN,post,"https://tvax3.sinaimg.cn/crop.77.85.261.261.1024/93437037ly8gmh6w9w3t9j20c80d30u4.jpg?KID=imgbed,tva&Expires=1716301616&ssig=XQVaY3lCv7",https://wx1.sinaimg.cn/orj960/93437037ly1hp5syobv6aj20f00w7429,"['https://wx1.sinaimg.cn/orj960/93437037ly1hp5syobv6aj20f00w7429', 'https://wx1.sinaimg.cn/orj960/93437037ly1hp5syormlsj20k00zkn06', 'https://wx1.sinaimg.cn/orj960/93437037ly1hp5tup4ek4j20u01t07bq', 'https://wx1.sinaimg.cn/orj960/93437037ly1hp5tuq2gedj20u01t0qbo']",#问界M7起火#,0.5,事故,['#问界M7起火#']
weibo,5028050409881692,#问界M7起火# 不是一些上窜下跳的说全网删除视频吗？你看这不都热搜了？  不管什么车，安全是第一位的，如果车辆本身的质量设计存在问题，那么生产者当然应该承担责任。  但是绝大部分交通事故都是由人（可能己方，可能对方）肇事造成的，因为车辆设计、质量问题发生的这种事故也有，但比例很小。  所 ,2024-04-28 08:28:16,138,8448,1620,7072228400,大风吹奏,大风吹奏,https://weibo.com/7072228400/ObLIAFsG8,post,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.1024/007IClG0ly8hh0ni56hthj30u00u0dmd.jpg?KID=imgbed,tva&Expires=1716301644&ssig=OxX3C3ChI%2F",https://wx1.sinaimg.cn/orj960/007IClG0ly1hp68pk15y1j30u00m3q4l,"['https://wx1.sinaimg.cn/orj960/007IClG0ly1hp68pk15y1j30u00m3q4l', 'https://wx1.sinaimg.cn/orj960/007IClG0ly1hp68pki7kbj30u00m4tav']",#问界M7起火#,-1.0,事故,['#问界M7起火#']
weibo,5028218194887561,#博世声明# [话筒] 4月28日，博世针对问界M7山西运城事故发布声明称，经调查，涉事车辆没有搭载博世智驾系统（含AEB）。对于事故导致的伤亡，博世深表痛心，对遇难者表示沉痛哀悼。#博世否认问界M7事故中使用其AEB##博世官方回应山西严重交通事故# ,2024-04-28 19:35:00,2,42,7,5148153495,保罗车闻Cars01,保罗车闻Cars01,https://weibo.com/5148153495/ObQ5dkvtD,post,"https://tvax1.sinaimg.cn/crop.0.0.600.600.1024/005Cp7TNly8hpp6ja6wekj30go0goq41.jpg?KID=imgbed,tva&Expires=1716301665&ssig=21dl0XilZ2",https://wx1.sinaimg.cn/orj960/005Cp7TNgy1hp6rzbe8q6j30ro0iptae,['https://wx1.sinaimg.cn/orj960/005Cp7TNgy1hp6rzbe8q6j30ro0iptae'],#博世否认问界M7事故中使用其AEB#,1.0,AEB,['#博世否认问界M7事故中使用其AEB#']
weibo,5029015456318808,任何借助交通事故博取车圈流量的行为，都需要被鄙视和摒弃。  #大v聊车##汽场全开##问界m7事故家属发声# http://t.cn/A6TkNFD9 ,2024-05-01 00:23:02,2,33,20,7830285733,五道口渣博,五道口渣博,https://weibo.com/7830285733/OcaP7qvOg,post,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.1024/008xV51bly8hnpqkkviwkj30u00u0n15.jpg?KID=imgbed,tva&Expires=1716301694&ssig=EhsLrRo3PL",,[],#问界M7事故家属发声#,0.5,家属发声,['#问界M7事故家属发声#']
weibo,5028895384406640,极目新闻是楚天都市报的官方账号，这是知乎上关于他们的帖子，http://t.cn/A6C7yveG，http://t.cn/A6Tkh1pb,2024-04-30 16:25:55,1,1,0,2322057383,摩拉小饼干,摩拉小饼干,https://weibo.com/2322057383/Oc7HsiumQ,retweet,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/8a67c8a7ly8hjup5x05h4j20u00u0tah.jpg?KID=imgbed,tva&Expires=1716301704&ssig=ghVikOPjzH",,[],#问界M7起火#,0.5,事故,['知乎']
weibo,5028102247288236,#问界回应车辆起火司乘3人遇难#看到这种事故真的是，让人难过。希望问界早日给大家一个回应吧，看看到底是哪里出问题，是车的问题，还是操作失误？毕竟这起事故实在是太严重了，大家需要知道一个结果。http://t.cn/A6TdijUU ,2024-04-28 11:54:16,37,68,69,6083984625,IT总司令,IT总司令,https://weibo.com/6083984625/ObN4cuA0c,post,"https://tvax2.sinaimg.cn/crop.216.0.960.960.1024/006DJMkhly8fp0nftifbxj30zk0qo0un.jpg?KID=imgbed,tva&Expires=1716301743&ssig=%2FWgh9AN2xv",,[],#问界回应车辆起火司乘3人遇难#,-1.0,问界回应,['#问界回应车辆起火司乘3人遇难#']
weibo,5028840907210969,#问界M7事故家属向救援者致谢##问界M7事故家属发声#大家都在等真相，真相出来之后，有些人应当为它们的所作所为付出代价。 ,2024-04-30 12:49:25,4,124,19,7348359537,一针见车,一针见车,https://weibo.com/7348359537/Oc6hAufTX,post,"https://tvax4.sinaimg.cn/crop.0.0.286.286.1024/0081iY01ly8hbya6q6xh0j307y07yglq.jpg?KID=imgbed,tva&Expires=1716301755&ssig=k1q02JQVlP",https://wx1.sinaimg.cn/orj960/0081iY01gy1hp8ric6a9mj30fx0la77p,['https://wx1.sinaimg.cn/orj960/0081iY01gy1hp8ric6a9mj30fx0la77p'],#问界M7事故家属发声#,0.5,家属发声,"['#问界M7事故家属向救援者致谢#', '#问界M7事故家属发声#']"
weibo,5027474910743058,欢迎大家来体验～,2024-04-26 18:21:27,51,102,45,7049279553,赛力斯汽车,赛力斯汽车,https://weibo.com/7049279553/ObwKn37iO,retweet,"https://tvax3.sinaimg.cn/crop.0.0.600.600.1024/007H43Djly8hbi39zxx5nj30go0gowew.jpg?KID=imgbed,tva&Expires=1716301776&ssig=RyxEkZTraz",,[],#问界回应M7事故四大疑问#,1.0,四大疑问_说明,[]
weibo,5028101174332374,#问界M7追尾大货车起火#你还敢买问界么？ http://t.cn/A6Tdo580 ,2024-04-28 11:50:00,0,123,0,3054324355,会星座的兔子,会星座的兔子,https://weibo.com/3054324355/ObN2tib30,post,"https://tvax4.sinaimg.cn/crop.0.0.600.600.1024/003kHDi3ly8hfu4whe59fj60go0gogml02.jpg?KID=imgbed,tva&Expires=1716301795&ssig=E2deTxh69y",,[],#问界M7追尾大货车起火#,-1.0,事故,['#问界M7追尾大货车起火#']
weibo,5031051894457832,2024年4月26日，在山西省侯平高速路段，一辆问界新M7 Plus在内侧快车道行驶中，高速追尾碰撞前方作业的道路养护车，从而引发交通事故。事故发生后，赛力斯汽车积极配合交警部门开展事故调查，提供一切必要数据还原事故原因。同时，赛力斯汽车对该事件发布了相关声明，并对问界用户关心的事故中问界新M7 ,2024-05-06 15:15:07,458,12181,1887,5651631512,赛力斯汽车法务部,赛力斯汽车法务部,https://weibo.com/5651631512/Od1NHiHGw,post,"https://tvax3.sinaimg.cn/crop.0.0.600.600.1024/006atFwYly8hnigzwwy9oj30go0gowew.jpg?KID=imgbed,tva&Expires=1716301806&ssig=5OcpHF%2FTtp",,[],#赛力斯汽车法务部回应问界事故#,-1.0,,[]
weibo,5029124047636347,隐藏式门把手主要是为了外观好看，但是丧失了安全性，在安全面前什么外观都不值一提！希望这位大哥不要自责，你已经尽力了[泪][泪]  #问界M7事故砸窗救援者在现场大哭# ,2024-05-01 07:34:32,1,155,48,7528369300,夜微凉50104,夜微凉50104,https://weibo.com/7528369300/OcdEgw2yT,post,"https://tvax3.sinaimg.cn/crop.0.0.512.512.1024/008dugLily8gl2z221z3mj30e80e8jrk.jpg?KID=imgbed,tva&Expires=1716301829&ssig=1Hfuj1On3s",,[],#问界M7事故砸窗救援者在现场大哭#,-1.0,,['#问界M7事故砸窗救援者在现场大哭#']
weibo,5028885621639962,看了家属的声明，真的很难过。请大家不要再传播不实信息#问界M7事故家属发声# #问界m7事故家属最新回应#,2024-04-30 15:47:07,0,303,28,7310275998,庐州月说车,庐州月说车,https://weibo.com/7310275998/Oc7rI6SD0,retweet,"https://tvax1.sinaimg.cn/crop.0.0.600.600.1024/007YJaJoly8hekb2jlxrkj30go0go75p.jpg?KID=imgbed,tva&Expires=1716301835&ssig=QwLb08N7Av",,[],#问界M7事故家属发声#,0.5,家属发声,['#问界M7事故家属发声#']
weibo,5028098221542439,#问界回应车辆起火司乘3人遇难#起火➕打不开车门真的太恐怖了[悲伤][悲伤][悲伤][悲伤][悲伤]逝者还有他们的家人多绝望啊 ,2024-04-28 11:38:16,1,157,22,6135649961,大妖妖,大妖妖,https://weibo.com/6135649961/ObMXI6tg3,post,"https://tvax2.sinaimg.cn/crop.0.0.827.827.1024/006HeyQ9ly8hfdwchyfqmj30mz0mzta6.jpg?KID=imgbed,tva&Expires=1716301840&ssig=gn9uNE669z",,[],#问界回应车辆起火司乘3人遇难#,1.0,问界回应,['#问界回应车辆起火司乘3人遇难#']
weibo,5029139319620312,#问界M7事故砸窗救援者在现场大哭# 山西运城M7事故，家属首次回应[话筒] http://t.cn/A6TkBSFx ,2024-05-01 08:35:13,41,59,79,1720462964,兰州新世相,兰州新世相,https://weibo.com/1720462964/Oce2TEmGk,post,"https://tvax2.sinaimg.cn/crop.0.0.500.500.1024/668c2e74ly8fiw8mjlnxmj20dw0dwwfz.jpg?KID=imgbed,tva&Expires=1716301841&ssig=ka%2F5XRZZmP",,[],#问界M7事故砸窗救援者在现场大哭#,1.0,,['#问界M7事故砸窗救援者在现场大哭#']
weibo,5031057978820774,#问界回应M7高速碰撞事故四大疑问# 不信谣，不传谣。现在问界M7所具备的车辆数据，完全可以还原真实的事故原因，如果是车辆产品问题，该追责的追责，产品的完善就需要实际运营情况的反馈；如果是驾驶者或者第三方的问题，也必须客观理性的来看待，不能道德绑架。 5月6日，@AITO汽车 官方就问界M7山西运城严重交通事故再次做出回应 ，主要针对4个方面解答公众疑问。 1、问界新M7 Plus未搭载华为ADS智能驾驶系统，事故车辆碰撞发生时车速115km/h，已超过AEB工作范围。 2、车辆被前方车辆尾部突出梁状坚硬结构瞬时严重侵入，前机舱被高温部件或线束短路火花引燃，后火势蔓延至整车，动力电池包未发生自燃。 3、根据后台数据分析，碰撞前主驾驶位有安全带锁扣信号，副驾驶位及后排3个座位均无安全带锁扣信号。碰撞发生时，车辆安全气囊正常打开。 4、问界新M7 Plus具备碰撞自动解锁功能，且配置机械车门内把手，可通过拉动机械车门内把手解锁开门。 以上1、2、3点大家已经比较认可了；第4点，从事故视频上看，确实是营救人员没那么了解隐藏式门把手通过单边压入可以打开，这一点值得汽车行业思考，如何改善。#微博新知##问界m7事故家属发声#,2024-05-06 15:39:17,7,66,24,2633750580,AlexCui聊车,AlexCui聊车,https://weibo.com/2633750580/Od1XvB0Gy,post,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.1024/9cfbd834ly8he03izuixoj20u00u0acy.jpg?KID=imgbed,tva&Expires=1716301844&ssig=5KjgEDpwIg",,[],#问界回应M7高速碰撞事故四大疑问#,-1.0,四大疑问_说明,"['#问界M7事故家属发声#', '#问界回应M7高速碰撞事故四大疑问#']"
weibo,5028799873286564,看来，这件事基本上尘埃落定了，愿逝者安息。 也希望#三个沐沐#今后能够坚强起来🙏🙏🙏 同时，我想说，在没有事故结果鉴定出来之前，少一点臆测，少一点恶意的想象力，多一点耐心。 这个事故从发生到现在，到处都是幸灾乐祸的，有多少媒体真正关心逝者及家属了？注意力都放到问界有没有问题上了，难道吃馒头必须要沾点血才香？ #问界M7起火事故逝者家属发声#,2024-04-30 10:06:22,0,106,115,2696775352,泽书而读,泽书而读,https://weibo.com/2696775352/Oc5dpdMZ6,post,"https://tvax4.sinaimg.cn/crop.0.0.270.270.1024/a0bd86b8ly8hdnrdtxfvmj207i07i748.jpg?KID=imgbed,tva&Expires=1716301859&ssig=Jxjw%2Bjh2OT",https://wx1.sinaimg.cn/orj960/a0bd86b8ly1hp8mrs13v4g208c08cto2,['https://wx1.sinaimg.cn/orj960/a0bd86b8ly1hp8mrs13v4g208c08cto2'],#问界M7起火事故逝者家属发声#,0.5,家属发声,['#问界M7起火事故逝者家属发声#']
weibo,5028437729215982,#问界M7追尾的养护车当时正浇水作业#  奇怪了，这么到现在都没人说车主的问题？驾驶员在高速上没有保持合理车距导致追尾，追尾者不说全责也得是主责。  就因为是华为的车所以驾驶员就无责了？  ,2024-04-29 10:07:21,16,155,76,1948347847,章博,章博,https://weibo.com/1948347847/ObVNiCFuS,post,"https://tvax2.sinaimg.cn/crop.0.0.512.512.1024/74216dc7ly8hegiu2vugyj20e80e8q3k.jpg?KID=imgbed,tva&Expires=1716301893&ssig=ua2BzmX9U4",,[],#问界M7追尾的养护车当时正浇水作业#,-1.0,,['#问界M7追尾的养护车当时正浇水作业#']
weibo,5031357741274230,看了问界的说明，那车祸现场真是惊心动魄啊！前车那梁状结构把事故车都给怼变形了，电线都被切断了致使门把手控制器无法收到弹出信号，不过机械门把手是能正常使用的！车本身确实没问题。#问界事故碰撞车速超过AEB工作范围# #问界公布山西运城车祸调查说明#,2024-05-07 11:30:26,0,400,41,6537081843,有车的世界你懂的,有车的世界你懂的,https://weibo.com/6537081843/Od9L05lu6,retweet,"https://tvax2.sinaimg.cn/crop.48.75.111.111.1024/0078oVBVly8fqs6fq0z0mj305k05kq2y.jpg?KID=imgbed,tva&Expires=1716301910&ssig=7AoJxr9%2FBd",,[],#问界公布山西运城车祸调查说明#,0.0,,['#问界公布山西运城车祸调查说明#']
weibo,5028087068624946,【#问界M7追尾大货车起火# ，疑似车门打不开，隐藏式车把手并未弹出】你买车会选择隐藏式门把手吗？ 有网友26日在社交平台视频爆料，一辆黑色问界M7在高速路上追尾一辆大货车，问界M7前机舱着火。从事故视频来看，问界M7的隐藏式车把手并未弹出，有几人正在尝试砸车窗。 ,2024-04-28 10:53:57,106,877,249,1988800805,凤凰网财经,凤凰网财经,https://weibo.com/1988800805/ObMFIAbK2,post,"https://tvax3.sinaimg.cn/crop.0.0.1024.1024.1024/002aANWlly8h0p9h64ugrj60sg0sg75m02.jpg?KID=imgbed,tva&Expires=1716301930&ssig=2Rq%2BwWeTtn",https://wx1.sinaimg.cn/orj960/002aANWlly1hp6cxo8uraj60oo0i3gor02,['https://wx1.sinaimg.cn/orj960/002aANWlly1hp6cxo8uraj60oo0i3gor02'],#问界M7追尾大货车起火#,-1.0,事故,['#问界M7追尾大货车起火#']
weibo,5028098750023504,#问界回应车辆起火司乘3人遇难# 已成立专项小组跟进核实，会跟交管部门配合进行调查工作。AEB是可以避免一些事故的发生，即使开了辅助驾驶，但是我们作为司机的话，还是要随时准备接管车辆的，目前智驾也只是辅助驾驶。事故的原因，我们还是等等通报吧。 ,2024-04-28 11:40:22,6,112,38,5568244116,浩子老师,浩子老师,https://weibo.com/5568244116/ObMYz0676,post,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.1024/0064PMEYly8hompcyxgghj30u00u1tcf.jpg?KID=imgbed,tva&Expires=1716301932&ssig=PRg%2BZ3Jqo%2B",https://wx1.sinaimg.cn/orj960/0064PMEYly1hp6e67onizj30hz0g7gso,['https://wx1.sinaimg.cn/orj960/0064PMEYly1hp6e67onizj30hz0g7gso'],#问界回应车辆起火司乘3人遇难#,1.0,问界回应,['#问界回应车辆起火司乘3人遇难#']
weibo,5028837533942821,反转来了！山西运城问界M7车祸遇难者家属“三个沐沐”4月29日深夜删除爆料视频，并于23点48分发表声明澄清：已收到相关部门提供的调查材料，其亲人是因为车辆碰撞而失去生命。希望大家忽略或删除网上种种不实报道和内容，不要再打扰她和她逝去的亲人。 此前，问界M7追尾事故被别有用心的人各种解读和带节奏，称因为车门打不开无法及时得到救援而被活活烧死。现在，亡者家属亲自澄清和还原真相，带节奏的人应该闭嘴了。#问界回应车辆起火司乘3人遇难#,2024-04-30 12:36:02,2,389,17,5534976700,天邢者一踏雪寻牛,天邢者一踏雪寻牛,https://weibo.com/5534976700/Oc6c9gxHT,post,"https://tvax3.sinaimg.cn/crop.0.0.750.750.1024/0062AchKly8g4fk64qtavj30ku0kuwer.jpg?KID=imgbed,tva&Expires=1716301968&ssig=kSNqbJPamx",https://wx1.sinaimg.cn/orj960/0062AchKgy1hp8r3edi3rj30qa1b6q9w,['https://wx1.sinaimg.cn/orj960/0062AchKgy1hp8r3edi3rj30qa1b6q9w'],#问界回应车辆起火司乘3人遇难#,1.0,问界回应,['#问界回应车辆起火司乘3人遇难#']
weibo,5028711746764941,冷静下来，问界M7将成为里程碑事件。 车企的癫狂营销、当事人的不幸和媒体的争相报道共同促成事件发酵。 也许车企发布会和营销用语、ncap、国标要求等将因此而修订增补某些条款。车企可以捂嘴但并不能阻挡相关部门对这些标准或规范的修订。我没可以借此在数月后窥见被隐瞒的那部分真相。 它给汽车行业带去的影响相当于昆山龙哥案，唯一不同是，龙哥罪有因得，而本事件的当事人是不幸罹难。#华为[超话]##问界m7起火#,2024-04-30 04:16:12,1,142,30,6628288359,MiFanTube,MiFanTube,https://weibo.com/6628288359/Oc2VgsnRX,post,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.1024/007ezCALly8hoqs6ukrirj30u00u0jrt.jpg?KID=imgbed,tva&Expires=1716301974&ssig=jnEzwEEWeo",,[],#问界M7起火#,0.5,事故,['#问界M7起火#']
weibo,5031056550136607,#AITO汽车发布山西问界M7事故说明# 行！周知。[微笑][微笑][微笑] ,2024-05-06 15:33:37,3,540,155,7339743650,番茄殿下,番茄殿下,https://weibo.com/7339743650/Od1Vd0zxl,post,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0080IOC6ly8gm9bvm4qhtj30u00u0tcn.jpg?KID=imgbed,tva&Expires=1716301976&ssig=%2FLXk1NuOL9",https://wx1.sinaimg.cn/orj960/0080IOC6ly1hpftxwuiw0j30z040bb29,['https://wx1.sinaimg.cn/orj960/0080IOC6ly1hpftxwuiw0j30z040bb29'],#AITO汽车发布山西问界M7事故说明#,1.0,四大疑问_说明,['#AITO汽车发布山西问界M7事故说明#']
